ZIP_CODE,Load Zone,Utility
12822,NGRID in Zone F,Niagara Mohawk Power Corporation
12856,NGRID in Zone F,Niagara Mohawk Power Corporation
12860,NGRID in Zone F,Niagara Mohawk Power Corporation
12884,NGRID in Zone F,Niagara Mohawk Power Corporation
12936,NGRID in Zone F,Niagara Mohawk Power Corporation
13353,NGRID in Zone F,Niagara Mohawk Power Corporation
13031,NGRID in Zone C,Niagara Mohawk Power Corporation
13078,NGRID in Zone C,Niagara Mohawk Power Corporation
13093,NGRID in Zone C,Niagara Mohawk Power Corporation
13103,NGRID in Zone C,Niagara Mohawk Power Corporation
13158,NGRID in Zone C,Niagara Mohawk Power Corporation
13164,NGRID in Zone C,Niagara Mohawk Power Corporation
13209,NGRID in Zone C,Niagara Mohawk Power Corporation
13212,NGRID in Zone C,Niagara Mohawk Power Corporation
13219,NGRID in Zone C,Niagara Mohawk Power Corporation
13244,NGRID in Zone C,Niagara Mohawk Power Corporation
14895,NGRID in Zone C,Niagara Mohawk Power Corporation
14138,NGRID in Zone A,Niagara Mohawk Power Corporation
14203,NGRID in Zone A,Niagara Mohawk Power Corporation
14215,NGRID in Zone A,Niagara Mohawk Power Corporation
14216,NGRID in Zone A,Niagara Mohawk Power Corporation
14219,NGRID in Zone A,Niagara Mohawk Power Corporation
14222,NGRID in Zone A,Niagara Mohawk Power Corporation
14265,NGRID in Zone A,Niagara Mohawk Power Corporation
14267,NGRID in Zone A,Niagara Mohawk Power Corporation
14276,NGRID in Zone A,Niagara Mohawk Power Corporation
14304,NGRID in Zone A,Niagara Mohawk Power Corporation
14423,NGRID in Zone A,Niagara Mohawk Power Corporation
14430,NGRID in Zone A,Niagara Mohawk Power Corporation
14462,NGRID in Zone A,Niagara Mohawk Power Corporation
14487,NGRID in Zone A,Niagara Mohawk Power Corporation
14508,NGRID in Zone A,Niagara Mohawk Power Corporation
14779,NGRID in Zone A,Niagara Mohawk Power Corporation
14539,NGRID in Zone A,Niagara Mohawk Power Corporation
14569,NGRID in Zone A,Niagara Mohawk Power Corporation
14591,NGRID in Zone A,Niagara Mohawk Power Corporation
14714,NGRID in Zone A,Niagara Mohawk Power Corporation
14740,NGRID in Zone A,Niagara Mohawk Power Corporation
14760,NGRID in Zone A,Niagara Mohawk Power Corporation
14021,NGRID in Zone A,Niagara Mohawk Power Corporation
14024,NGRID in Zone A,Niagara Mohawk Power Corporation
14029,NGRID in Zone A,Niagara Mohawk Power Corporation
14032,NGRID in Zone A,Niagara Mohawk Power Corporation
14042,NGRID in Zone A,Niagara Mohawk Power Corporation
14063,NGRID in Zone A,Niagara Mohawk Power Corporation
14094,NGRID in Zone A,Niagara Mohawk Power Corporation
11022,LIPA in Zone K,Long Island Power Authority
11053,LIPA in Zone K,Long Island Power Authority
11796,LIPA in Zone K,Long Island Power Authority
11948,LIPA in Zone K,Long Island Power Authority
11949,LIPA in Zone K,Long Island Power Authority
11951,LIPA in Zone K,Long Island Power Authority
11954,LIPA in Zone K,Long Island Power Authority
11957,LIPA in Zone K,Long Island Power Authority
11964,LIPA in Zone K,Long Island Power Authority
11971,LIPA in Zone K,Long Island Power Authority
11973,LIPA in Zone K,Long Island Power Authority
11975,LIPA in Zone K,Long Island Power Authority
11547,LIPA in Zone K,Long Island Power Authority
11582,LIPA in Zone K,Long Island Power Authority
11598,LIPA in Zone K,Long Island Power Authority
11704,LIPA in Zone K,Long Island Power Authority
11714,LIPA in Zone K,Long Island Power Authority
11721,LIPA in Zone K,Long Island Power Authority
11730,LIPA in Zone K,Long Island Power Authority
11749,LIPA in Zone K,Long Island Power Authority
11762,LIPA in Zone K,Long Island Power Authority
11768,LIPA in Zone K,Long Island Power Authority
11776,LIPA in Zone K,Long Island Power Authority
11777,LIPA in Zone K,Long Island Power Authority
11782,LIPA in Zone K,Long Island Power Authority
11784,LIPA in Zone K,Long Island Power Authority
14802,NYSEG in Zone C,New York State Electric & Gas Corporation
14804,NYSEG in Zone C,New York State Electric & Gas Corporation
14808,NYSEG in Zone C,New York State Electric & Gas Corporation
14812,NYSEG in Zone C,New York State Electric & Gas Corporation
14825,NYSEG in Zone C,New York State Electric & Gas Corporation
14827,NYSEG in Zone C,New York State Electric & Gas Corporation
14837,NYSEG in Zone C,New York State Electric & Gas Corporation
14838,NYSEG in Zone C,New York State Electric & Gas Corporation
14860,NYSEG in Zone C,New York State Electric & Gas Corporation
14861,NYSEG in Zone C,New York State Electric & Gas Corporation
14881,NYSEG in Zone C,New York State Electric & Gas Corporation
14885,NYSEG in Zone C,New York State Electric & Gas Corporation
