,GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,area,coverage,dac_coverage,pre_screened_coverage
1650,12810,ZCTA5 12810,S1901_C01_012,58125.0,7093.0,12810,0,174617636.1335849,,,
1651,11201,ZCTA5 11201,S1901_C01_012,124996.0,4594.0,11201,0,3722983.8861874677,,,
1652,13053,ZCTA5 13053,S1901_C01_012,67857.0,12590.0,13053,0,86429271.64106053,0.8384663578450147,,
1653,13072,ZCTA5 13072,S1901_C01_012,55547.0,7510.0,13072,0,121650706.04435766,0.8904074929760916,,
1654,10518,ZCTA5 10518,S1901_C01_012,198255.0,52939.0,10518,0,9035265.279047,1.0000000000000004,,
1655,12192,ZCTA5 12192,S1901_C01_012,85212.0,24679.0,12192,0,44509360.23074598,,,
1656,12419,ZCTA5 12419,S1901_C01_012,59231.0,22378.0,12419,0,6297418.231505808,,,
1657,12489,ZCTA5 12489,S1901_C01_012,,,12489,0,16223802.243783662,,,
1658,12520,ZCTA5 12520,S1901_C01_012,105435.0,15560.0,12520,1,10225413.350673398,,,
1659,12525,ZCTA5 12525,S1901_C01_012,77147.0,7462.0,12525,0,61716747.07756135,,,
1660,13361,ZCTA5 13361,S1901_C01_012,54219.0,10513.0,13361,0,73223106.94283788,0.4632949234012804,2.823916285950225e-05,
1661,12077,ZCTA5 12077,S1901_C01_012,99662.0,6905.0,12077,0,27099772.098146897,,,
1662,12166,ZCTA5 12166,S1901_C01_012,40089.0,3647.0,12166,0,114094089.29019281,,,
1663,12924,ZCTA5 12924,S1901_C01_012,70000.0,60659.0,12924,0,7224149.030089199,1.0,0.9972882410691287,
1664,13339,ZCTA5 13339,S1901_C01_012,49071.0,5286.0,13339,0,282052117.09551775,1.6668303127329644e-05,,
1665,14111,ZCTA5 14111,S1901_C01_012,57313.0,5941.0,14111,0,93684208.05826753,0.000899927896129542,,
1666,12093,ZCTA5 12093,S1901_C01_012,51481.0,9377.0,12093,0,171112103.846769,0.7554474217224505,,
1667,10530,ZCTA5 10530,S1901_C01_012,108817.0,8020.0,10530,0,9962956.842758428,,,
1668,14724,ZCTA5 14724,S1901_C01_012,52778.0,7497.0,14724,0,193301760.81475684,,,
1669,13480,ZCTA5 13480,S1901_C01_012,56033.0,6103.0,13480,0,139481046.03453335,0.9849629206167739,,
1670,12543,ZCTA5 12543,S1901_C01_012,60769.0,11085.0,12543,0,31326341.11460889,,,
