ZIP,Utility,zip_flag,pre_screen_flag,dac_flag
10017,ORU,FALSE,FALSE,FALSE
14806,ORU,FALSE,FALSE,FALSE
10550,ORU,FALSE,FALSE,FALSE
13111,ORU,FALSE,FALSE,FALSE
14543,ORU,FALSE,FALSE,FALSE
12155,ORU,FALSE,FALSE,FALSE
10541,ORU,FALSE,FALSE,FALSE
12176,ORU,FALSE,FALSE,FALSE
13118,ORU,FALSE,FALSE,FALSE
12406,ORU,FALSE,FALSE,FALSE
13484,ORU,FALSE,FALSE,FALSE
10594,ORU,FALSE,FALSE,FALSE
12521,ORU,FALSE,FALSE,FALSE
12886,ORU,FALSE,FALSE,FALSE
11963,ORU,FALSE,FALSE,FALSE
11433,ORU,FALSE,FALSE,FALSE
14845,ORU,FALSE,FALSE,FALSE
14878,ORU,FALSE,FALSE,FALSE
13456,ORU,FALSE,FALSE,FALSE
11756,ORU,FALSE,FALSE,FALSE
12147,ORU,FALSE,FALSE,FALSE
12190,ORU,FALSE,FALSE,FALSE
14726,ORU,FALSE,FALSE,FALSE
11798,ORU,FALSE,FALSE,FALSE
13760,ORU,FALSE,FALSE,FALSE
14817,ORU,FALSE,FALSE,FALSE
13308,ORU,FALSE,FALSE,FALSE
14779,ORU,FALSE,FALSE,FALSE
13028,ORU,FALSE,FALSE,FALSE
12197,ORU,FALSE,FALSE,FALSE
12502,ORU,FALSE,FALSE,FALSE
10119,ORU,FALSE,FALSE,FALSE
10036,ORU,FALSE,FALSE,FALSE
14620,ORU,FALSE,FALSE,FALSE
14812,ORU,FALSE,FALSE,FALSE
11577,ORU,FALSE,FALSE,FALSE
12759,ORU,FALSE,FALSE,FALSE
11514,ORU,FALSE,FALSE,FALSE
14072,ORU,FALSE,FALSE,FALSE
13473,ORU,FALSE,FALSE,FALSE
13141,ORU,FALSE,FALSE,FALSE
12434,ORU,FALSE,FALSE,FALSE
12453,ORU,FALSE,FALSE,FALSE
13123,ORU,FALSE,FALSE,FALSE
12498,ORU,FALSE,FALSE,FALSE
14066,ORU,FALSE,FALSE,FALSE
12175,ORU,FALSE,FALSE,FALSE
13680,ORU,FALSE,FALSE,FALSE
12719,ORU,TRUE,FALSE,FALSE
12771,ORU,TRUE,FALSE,TRUE
10801,ORU,FALSE,FALSE,FALSE
12422,ORU,FALSE,FALSE,FALSE
14720,ORU,FALSE,FALSE,FALSE
14870,ORU,FALSE,FALSE,FALSE
14513,ORU,FALSE,FALSE,FALSE
13652,ORU,FALSE,FALSE,FALSE
13483,ORU,FALSE,FALSE,FALSE
12856,ORU,FALSE,FALSE,FALSE
14510,ORU,FALSE,FALSE,FALSE
12482,ORU,FALSE,FALSE,FALSE
14613,ORU,FALSE,FALSE,FALSE
13417,ORU,FALSE,FALSE,FALSE
10606,ORU,FALSE,FALSE,FALSE
11724,ORU,FALSE,FALSE,FALSE
14008,ORU,FALSE,FALSE,FALSE
10538,ORU,FALSE,FALSE,FALSE
11763,ORU,FALSE,FALSE,FALSE
12157,ORU,FALSE,FALSE,FALSE
12410,ORU,FALSE,FALSE,FALSE
13132,ORU,FALSE,FALSE,FALSE
10701,ORU,FALSE,FALSE,FALSE
10033,ORU,FALSE,FALSE,FALSE
12583,ORU,FALSE,FALSE,FALSE
11742,ORU,FALSE,FALSE,FALSE
13753,ORU,FALSE,FALSE,FALSE
14030,ORU,FALSE,FALSE,FALSE
10919,ORU,TRUE,FALSE,TRUE
10804,ORU,FALSE,FALSE,FALSE
10463,ORU,FALSE,FALSE,FALSE
12303,ORU,FALSE,FALSE,FALSE
12017,ORU,FALSE,FALSE,FALSE
12592,ORU,FALSE,FALSE,FALSE
11964,ORU,FALSE,FALSE,FALSE
12522,ORU,FALSE,FALSE,FALSE
11967,ORU,FALSE,FALSE,FALSE
12844,ORU,FALSE,FALSE,FALSE
14203,ORU,FALSE,FALSE,FALSE
14741,ORU,FALSE,FALSE,FALSE
12083,ORU,FALSE,FALSE,FALSE
13501,ORU,FALSE,FALSE,FALSE
10003,ORU,FALSE,FALSE,FALSE
14559,ORU,FALSE,FALSE,FALSE
10913,ORU,TRUE,FALSE,FALSE
12811,ORU,FALSE,FALSE,FALSE
13342,ORU,FALSE,FALSE,FALSE
14086,ORU,FALSE,FALSE,FALSE
14840,ORU,FALSE,FALSE,FALSE
14224,ORU,FALSE,FALSE,FALSE
11238,ORU,FALSE,FALSE,FALSE
10566,ORU,FALSE,FALSE,FALSE
12028,ORU,FALSE,FALSE,FALSE
10516,ORU,FALSE,FALSE,FALSE
12446,ORU,FALSE,FALSE,FALSE
14865,ORU,FALSE,FALSE,FALSE
10469,ORU,FALSE,FALSE,FALSE
10922,ORU,TRUE,FALSE,TRUE
13637,ORU,FALSE,FALSE,FALSE
10579,ORU,FALSE,FALSE,FALSE
12566,ORU,TRUE,FALSE,FALSE
12452,ORU,FALSE,FALSE,FALSE
